z(m),CH2CH3(S),CH3(S),H(S),CH2(S),CHCH3(S),CH2CH2(S),CH(S),CCH3(S),CHCH2(S),C(S),CCH2(S),CHCH(S),CCH(S),CC(S),CH4(S),PT(S)
5.050000e-04, 5.258580e-08, 4.675958e-09, 1.113274e-03, 1.405934e-06, 3.631153e-09, 5.463960e-08, 5.169216e-01, 2.193023e-02, 1.722452e-06, 3.738360e-01, 2.223907e-02, 1.071195e-03, 1.635053e-04, 1.387151e-05, 2.501144e-08, 6.270799e-02
5.500000e-04, 4.985282e-08, 5.011204e-09, 1.117266e-03, 1.486471e-06, 4.181956e-09, 5.731096e-08, 5.270340e-01, 2.441591e-02, 1.902316e-06, 3.623759e-01, 2.358014e-02, 1.151063e-03, 1.662972e-04, 1.340663e-05, 2.919918e-08, 6.014255e-02
5.950000e-04, 4.692315e-08, 5.276074e-09, 1.110226e-03, 1.555709e-06, 4.807429e-09, 5.973458e-08, 5.389313e-01, 2.759814e-02, 2.104745e-06, 3.487268e-01, 2.519403e-02, 1.240895e-03, 1.667497e-04, 1.263412e-05, 3.261783e-08, 5.701542e-02
6.400000e-04, 4.377496e-08, 5.455679e-09, 1.091839e-03, 1.612130e-06, 5.525569e-09, 6.190210e-08, 5.525111e-01, 3.170557e-02, 2.334958e-06, 3.326891e-01, 2.712748e-02, 1.342585e-03, 1.647155e-04, 1.158788e-05, 3.490042e-08, 5.335199e-02
6.850000e-04, 4.038587e-08, 5.540655e-09, 1.061825e-03, 1.654205e-06, 6.360497e-09, 6.379400e-08, 5.675541e-01, 3.706222e-02, 2.599334e-06, 3.140658e-01, 2.943494e-02, 1.458277e-03, 1.600988e-04, 1.031901e-05, 3.578358e-08, 4.918794e-02
7.300000e-04, 3.673627e-08, 5.527861e-09, 1.019878e-03, 1.680277e-06, 7.344341e-09, 6.536685e-08, 5.836527e-01, 4.413333e-02, 2.905583e-06, 2.926883e-01, 3.217784e-02, 1.590366e-03, 1.528718e-04, 8.893803e-06, 3.514874e-08, 4.457115e-02
7.750000e-04, 3.281466e-08, 5.419886e-09, 9.656187e-04, 1.688387e-06, 8.519579e-09, 6.653427e-08, 6.001022e-01, 5.359519e-02, 3.262815e-06, 2.684536e-01, 3.542200e-02, 1.741461e-03, 1.430979e-04, 7.390093e-06, 3.303946e-08, 3.956431e-02
8.200000e-04, 2.862606e-08, 5.223452e-09, 8.985386e-04, 1.676052e-06, 9.941711e-09, 6.714014e-08, 6.157433e-01, 6.644238e-02, 3.681409e-06, 2.413787e-01, 3.923154e-02, 1.914295e-03, 1.309590e-04, 5.891682e-06, 2.965290e-08, 3.424885e-02
8.650000e-04, 2.420431e-08, 4.946953e-09, 8.180243e-04, 1.639982e-06, 1.168162e-08, 6.692493e-08, 6.287364e-01, 8.415054e-02, 4.172346e-06, 2.116689e-01, 4.365648e-02, 2.111511e-03, 1.167815e-04, 4.480657e-06, 2.530985e-08, 2.873095e-02
9.100000e-04, 1.962925e-08, 4.597643e-09, 7.235470e-04, 1.575795e-06, 1.382543e-08, 6.549392e-08, 6.362580e-01, 1.089145e-01, 4.745323e-06, 1.797990e-01, 4.870844e-02, 2.335119e-03, 1.010502e-04, 3.228150e-06, 2.041224e-08, 2.315064e-02
9.550000e-04, 1.504747e-08, 4.179086e-09, 6.152354e-04, 1.477859e-06, 1.646480e-08, 6.231612e-08, 6.341486e-01, 1.439566e-01, 5.403830e-06, 1.465959e-01, 5.431102e-02, 2.585013e-03, 8.439349e-05, 2.185017e-06, 1.539850e-08, 1.769402e-02
1.000000e-03, 1.068876e-08, 3.689924e-09, 4.950925e-04, 1.339734e-06, 1.965890e-08, 5.681793e-08, 6.166855e-01, 1.937740e-01, 6.133124e-06, 1.133121e-01, 6.019749e-02, 2.855087e-03, 6.753277e-05, 1.375041e-06, 1.070253e-08, 1.260424e-02
1.000000e-03, 1.068876e-08, 3.689924e-09, 4.950925e-04, 1.339734e-06, 1.965890e-08, 5.681793e-08, 6.166855e-01, 1.937740e-01, 6.133124e-06, 1.133121e-01, 6.019749e-02, 2.855087e-03, 6.753277e-05, 1.375041e-06, 1.070253e-08, 1.260424e-02
