t(s),N2,NH3,H2
9.55000000e-02,1.58265532e-01,6.75603526e-02,7.74174115e-01
1.00000000e-01,1.58651763e-01,6.75073103e-02,7.73840927e-01
1.45000000e-01,1.62444043e-01,6.69849280e-02,7.70571029e-01
1.90000000e-01,1.66098930e-01,6.64790254e-02,7.67422045e-01
2.35000000e-01,1.69615877e-01,6.59903759e-02,7.64393747e-01
2.80000000e-01,1.72996221e-01,6.55193666e-02,7.61484413e-01
3.25000000e-01,1.76241543e-01,6.50662558e-02,7.58692201e-01
3.70000000e-01,1.79352460e-01,6.46312833e-02,7.56016257e-01
4.15000000e-01,1.82323058e-01,6.42153240e-02,7.53461618e-01
4.60000000e-01,1.85141678e-01,6.38203176e-02,7.51038004e-01
5.05000000e-01,1.87798372e-01,6.34478811e-02,7.48753747e-01
5.50000000e-01,1.90282541e-01,6.30997136e-02,7.46617745e-01
5.95000000e-01,1.92649654e-01,6.27684893e-02,7.44581857e-01
6.40000000e-01,1.95019526e-01,6.24380033e-02,7.42542471e-01
6.85000000e-01,1.97281776e-01,6.21229564e-02,7.40595268e-01
7.30000000e-01,1.99440348e-01,6.18229401e-02,7.38736711e-01
7.75000000e-01,2.01496065e-01,6.15377899e-02,7.36966145e-01
8.20000000e-01,2.03436281e-01,6.12692214e-02,7.35294497e-01
8.65000000e-01,2.05279260e-01,6.10147515e-02,7.33705988e-01
9.10000000e-01,2.07031530e-01,6.07734043e-02,7.32195065e-01
9.55000000e-01,2.08688528e-01,6.05459837e-02,7.30765488e-01
1.00000000e+00,2.10247925e-01,6.03328133e-02,7.29419261e-01
1.45000000e+00,2.21708821e-01,5.87944697e-02,7.19496709e-01
1.90000000e+00,2.28194901e-01,5.79694227e-02,7.13835676e-01
2.35000000e+00,2.31715830e-01,5.75677359e-02,7.10716434e-01
2.80000000e+00,2.33568406e-01,5.74017282e-02,7.09029865e-01
3.25000000e+00,2.34567248e-01,5.73568687e-02,7.08075884e-01
3.70000000e+00,2.35067355e-01,5.73821450e-02,7.07550500e-01
4.00000000e+00,2.35255875e-01,5.74193186e-02,7.07324806e-01
