t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
9.55000000e-07,1.24059523e-06,8.29084709e-01,9.35305702e-02,2.63374116e-07,1.25856520e-06,1.29204135e-02,6.44615454e-02,3.14006402e-07,8.43229619e-01,8.02855560e-02,3.93651818e-06,1.90675891e-03,3.86195534e-03,7.07117901e-02
1.00000000e-06,1.23995158e-06,8.28897236e-01,9.36926224e-02,2.65761422e-07,1.26233058e-06,1.29382734e-02,6.44691005e-02,3.13104939e-07,8.42196149e-01,8.12110321e-02,4.06408481e-06,1.94694603e-03,3.90005113e-03,7.07413748e-02
1.45000000e-06,1.23222555e-06,8.27088646e-01,9.52277271e-02,2.87189123e-07,1.29664910e-06,1.30985748e-02,6.45822364e-02,3.05557759e-07,8.33700188e-01,8.87756801e-02,5.19086563e-06,2.28427299e-03,4.20308044e-03,7.10312117e-02
1.90000000e-06,1.22582076e-06,8.25622890e-01,9.64662966e-02,3.04479943e-07,1.32410661e-06,1.32247392e-02,6.46832205e-02,3.00021057e-07,8.27584919e-01,9.41809920e-02,6.08727735e-06,2.53400809e-03,4.41063599e-03,7.12829878e-02
2.35000000e-06,1.22070264e-06,8.24456504e-01,9.74510262e-02,3.18359623e-07,1.34594155e-06,1.33238651e-02,6.47657199e-02,2.95801004e-07,8.22988080e-01,9.82220828e-02,6.80478069e-06,2.72433970e-03,4.56057970e-03,7.14977470e-02
2.80000000e-06,1.21661787e-06,8.23528173e-01,9.82343042e-02,3.29485121e-07,1.36331323e-06,1.34019849e-02,6.48326285e-02,2.92521394e-07,8.19451963e-01,1.01317833e-01,7.38023357e-06,2.87173865e-03,4.67228568e-03,7.16784367e-02
3.25000000e-06,1.21335851e-06,8.22788947e-01,9.88577377e-02,3.38393505e-07,1.37714083e-06,1.34637039e-02,6.48866832e-02,2.89948456e-07,8.16699773e-01,1.03719457e-01,7.84161626e-06,2.98685590e-03,4.75699824e-03,7.18287142e-02
3.70000000e-06,1.21075822e-06,8.22200104e-01,9.93541669e-02,3.45520545e-07,1.38815149e-06,1.35125597e-02,6.49302250e-02,2.87913575e-07,8.14537482e-01,1.05601254e-01,8.21142496e-06,3.07732348e-03,4.82210896e-03,7.19532620e-02
4.15000000e-06,1.20868326e-06,8.21730775e-01,9.97497296e-02,3.51220503e-07,1.39692460e-06,1.35513052e-02,6.49652334e-02,2.86302557e-07,8.12832162e-01,1.07082643e-01,8.50781884e-06,3.14873099e-03,4.87262590e-03,7.20549738e-02
4.60000000e-06,1.20702717e-06,8.21356528e-01,1.00065087e-01,3.55778004e-07,1.40391845e-06,1.35820780e-02,6.49933411e-02,2.85023431e-07,8.11482248e-01,1.08253575e-01,8.74516151e-06,3.20524480e-03,4.91207902e-03,7.21377526e-02
5.05000000e-06,1.20570805e-06,8.21058639e-01,1.00316058e-01,3.59413427e-07,1.40948406e-06,1.36064941e-02,6.50158346e-02,2.84008338e-07,8.10413525e-01,1.09179519e-01,8.93474581e-06,3.24997244e-03,4.94297705e-03,7.22047183e-02
5.50000000e-06,1.20465636e-06,8.20821268e-01,1.00516016e-01,3.62315172e-07,1.41391812e-06,1.36259007e-02,6.50338342e-02,2.83201064e-07,8.09565171e-01,1.09913859e-01,9.08625140e-06,3.28546093e-03,4.96729239e-03,7.22587775e-02
5.95000000e-06,1.20381776e-06,8.20632075e-01,1.00675373e-01,3.64631116e-07,1.41745168e-06,1.36413368e-02,6.50482292e-02,2.82558540e-07,8.08890968e-01,1.10497018e-01,9.20729796e-06,3.31365219e-03,4.98648002e-03,7.23023223e-02
6.40000000e-06,1.20314880e-06,8.20481201e-01,1.00802444e-01,3.66479922e-07,1.42026921e-06,1.36536273e-02,6.50597378e-02,2.82046770e-07,8.08354462e-01,1.10960830e-01,9.30399893e-06,3.33607656e-03,5.00166831e-03,7.23373073e-02
6.85000000e-06,1.20261507e-06,8.20360858e-01,1.00903794e-01,3.67955852e-07,1.42251636e-06,1.36634182e-02,6.50689366e-02,2.81638869e-07,8.07927202e-01,1.11330034e-01,9.38125071e-06,3.35392822e-03,5.01371087e-03,7.23653920e-02
7.30000000e-06,1.20218906e-06,8.20264821e-01,1.00984670e-01,3.69134507e-07,1.42430951e-06,1.36712235e-02,6.50762899e-02,2.81313465e-07,8.07586672e-01,1.11624172e-01,9.44298346e-06,3.36815222e-03,5.02327277e-03,7.23879372e-02
7.75000000e-06,1.20184907e-06,8.20188186e-01,1.01049205e-01,3.70075516e-07,1.42574032e-06,1.36774475e-02,6.50821641e-02,2.81053928e-07,8.07315199e-01,1.11858603e-01,9.49228467e-06,3.37949009e-03,5.03087722e-03,7.24059871e-02
8.20000000e-06,1.20157809e-06,8.20127109e-01,1.01100638e-01,3.70825753e-07,1.42688064e-06,1.36824059e-02,6.50868485e-02,2.80847319e-07,8.07098990e-01,1.12045310e-01,9.53158564e-06,3.38851846e-03,5.03692738e-03,7.24203720e-02
8.65000000e-06,1.20136221e-06,8.20078466e-01,1.01141597e-01,3.71423661e-07,1.42778875e-06,1.36863505e-02,6.50905865e-02,2.80682573e-07,8.06926999e-01,1.12193723e-01,9.56295295e-06,3.39569890e-03,5.04171556e-03,7.24319491e-02
9.10000000e-06,1.20119032e-06,8.20039729e-01,1.01174215e-01,3.71899927e-07,1.42851188e-06,1.36894912e-02,6.50935633e-02,2.80551766e-07,8.06789888e-01,1.12312125e-01,9.58791537e-06,3.40141642e-03,5.04553966e-03,7.24410931e-02
9.55000000e-06,1.20105336e-06,8.20008872e-01,1.01200197e-01,3.72279454e-07,1.42908796e-06,1.36919918e-02,6.50959366e-02,2.80447110e-07,8.06680930e-01,1.12406082e-01,9.60784342e-06,3.40596640e-03,5.04856064e-03,7.24485032e-02
1.00000000e-05,1.20094423e-06,8.19984284e-01,1.01220901e-01,3.72581947e-07,1.42954702e-06,1.36939842e-02,6.50978282e-02,2.80363930e-07,8.06594071e-01,1.12481023e-01,9.62371373e-06,3.40959165e-03,5.05097307e-03,7.24543671e-02
1.45000000e-05,1.20056061e-06,8.19897819e-01,1.01293712e-01,3.73646682e-07,1.43116169e-06,1.37009899e-02,6.51044749e-02,2.80071107e-07,8.06288308e-01,1.12744816e-01,9.67960930e-06,3.42234981e-03,5.05945655e-03,7.24750396e-02
1.90000000e-05,1.20052186e-06,8.19889041e-01,1.01301111e-01,3.73755853e-07,1.43132633e-06,1.37017043e-02,6.51051388e-02,2.80041159e-07,8.06257236e-01,1.12771575e-01,9.68538833e-06,3.42365066e-03,5.06030822e-03,7.24771950e-02
2.35000000e-05,1.20051876e-06,8.19888292e-01,1.01301750e-01,3.73766250e-07,1.43134115e-06,1.37017689e-02,6.51051834e-02,2.80038249e-07,8.06253735e-01,1.12774675e-01,9.68594127e-06,3.42379144e-03,5.06041542e-03,7.24773471e-02
2.80000000e-05,1.20051934e-06,8.19888371e-01,1.01301693e-01,3.73766457e-07,1.43134050e-06,1.37017664e-02,6.51051644e-02,2.80038478e-07,8.06253774e-01,1.12774680e-01,9.68596420e-06,3.42379687e-03,5.06041953e-03,7.24772945e-02
